Date,Close/Last,Volume,Open,High,Low,Day
2024-05-14,179.87,3508716,181.05,181.28,178.6,1540
2024-05-13,180.9,4408084,180.51,181.35,179.85,1539
2024-05-10,179.79,4201814,177.95,180.16,177.61,1536
2024-05-09,178.06,2421414,177.26,178.43,177.09,1535
2024-05-08,177.41,3400880,178.71,178.88,177.19,1534
2024-05-07,178.02,3707968,177,178.15,176.51,1533
2024-05-06,175.82,3576284,176.76,176.76,175.13,1532
2024-05-03,176.15,3492120,175.8,176.49,175,1529
2024-05-02,175.45,3964773,175.58,176.32,174.55,1528
2024-05-01,175.15,4340495,175.46,176.23,173.66,1527
2024-04-30,175.91,4465331,176.27,176.47,174.84,1526
2024-04-29,176.14,3224473,175.5,176.315,175.02,1525
2024-04-26,175.58,4472102,174.44,178.57,174.34,1522
2024-04-25,176.68,7441497,178.28,180.63,175.82,1521
2024-04-24,177.41,10016690,168.5,178.09,167.65,1520
2024-04-23,171.22,9145041,174.7,174.88,170.14,1519
2024-04-22,176.46,7288701,174.41,177.2,174.03,1518
2024-04-19,174.13,6636697,172.28,174.27,171.8,1515
2024-04-18,172.27,5574662,170.1,172.68,170.1,1514
2024-04-17,169.48,4069200,169.09,169.7,168.21,1513
2024-04-16,167.5,4569689,167.03,168.51,166.89,1512
2024-04-15,166.95,5133181,169.21,169.35,166.03,1511
2024-04-12,168.1,5453736,167.69,168.51,167.32,1508
2024-04-11,168.36,4241563,169.62,169.87,167.77,1507
2024-04-10,168.95,4581676,169.57,169.63,167.77,1506
2024-04-09,170.61,3774304,170.225,170.72,168.73,1505
2024-04-08,169.58,3755725,169.15,170.05,168.74,1504
2024-04-05,169.14,4412390,169.4,169.97,168.07,1501
2024-04-04,169.65,5422567,170.92,171.78,169.33,1500
2024-04-03,169.68,5828024,170,170.92,168.7,1499
2024-04-02,171.44,5158492,172.94,173.87,171.36,1498
2024-04-01,172.98,4815366,175.57,176.23,172.65,1497
2024-03-28,175.01,5710539,174.76,175.81,174.37,1493
2024-03-27,173.57,4911274,173.998,174.69,173.05,1492
2024-03-26,172.73,4593166,172.17,172.97,171.82,1491
2024-03-25,172.6,3941985,172.2,173.09,172.11,1490
2024-03-22,172.02,4106531,173.02,173.1,171.76,1487
2024-03-21,172.45,4343007,171.92,173.42,171.05,1486
2024-03-20,171.86,5046920,172.3,173.1,171.12,1485
2024-03-19,171.8,7653926,171.1,172.65,171,1484
2024-03-18,171.26,10478530,167.05,172.18,166.95,1483
2024-03-15,164.66,21887270,165.06,165.38,163.64,1480
2024-03-14,164.78,5155326,166.26,166.26,164.2,1479
2024-03-13,165.3,4585789,165.1,166.14,164.74,1478
2024-03-12,164.54,6158507,165.14,165.42,163.96,1477
2024-03-11,164.73,5404790,163.92,165.42,163.31,1476
2024-03-08,163.05,6065294,162.32,164.2,162.09,1473
2024-03-07,163.11,5801610,163.82,163.9,162.5,1472
2024-03-06,163,5302463,162.06,163.99,162.04,1471
2024-03-05,162.04,6631346,165.22,165.5,161.81,1470
2024-03-04,165.37,4303882,164.45,165.65,163.6,1469
2024-03-01,164.59,6109856,164.86,165,163.25,1466
2024-02-29,165.34,8489449,166.21,166.68,164.91,1465
2024-02-28,167.03,5275282,168.12,168.5,166.45,1464
2024-02-27,168.16,3567644,167.82,168.22,167.35,1463
2024-02-26,168.26,3836980,169.42,169.42,167.71,1462
2024-02-23,169.6,6409765,167.94,170.25,167.8,1459
2024-02-22,168.25,7539232,167.64,168.8298,166.1,1458
2024-02-21,168.83,4195366,169.95,170.18,167.86,1457
2024-02-20,168.65,6117866,167.74,169.52,167.19,1456
2024-02-16,166.32,5245994,167.21,167.41,165.68,1452
2024-02-15,167.86,4451374,167.95,168.365,166.68,1451
2024-02-14,167.52,5731904,168.34,168.64,166.06,1450
2024-02-13,168.88,7302014,171.22,171.45,167.24,1449
2024-02-12,170.61,7867544,167.86,171.0694,167.2,1448
2024-02-09,167.67,12731740,171.2,171.39,166.97,1445
2024-02-08,173.85,9269699,171.72,174.1,171.41,1444
2024-02-07,171.47,5769679,172.63,172.9,171.38,1443
2024-02-06,171.42,5182879,171.45,171.8252,169.94,1442
2024-02-05,170.92,5142706,170.55,171.58,169.05,1441
